Part,Size,Link
Polycase (ML-24F) + screws,"External: 114 x 67 x 52 mm, Internal: 106 x 59 x 44 mm",ML-24F Outdoor NEMA Enclosure
Chassis,Custom,3D printed chassis
FormLabs Resin,1 L,Clear V4 Resin
Mounting screws for chassis,"#4-24 1/4""",Mounting boss screws
Boron 404X,0.9 x 2 in,Boron 404X
Adalogger FeatherWing,50.8 x 22.9 x 1.6 mm,Adalogger FeatherWing
Stacking header pins,12- & 16-pin,Short header pins
Mounting screws for electronics,"M2.5 x 0.45, 18mm length",M2.5 screws
Hex nuts for electronics,"M2.5 x 0.45, 2mm height, 5mm width",M2.5 hex nuts
Cellular antenna (included with Boron),122.1 x 12.8 x 0.2 mm,Antenna
Maxbotix Ultrasonic Rangefinder,71.09 x 43.84 mm,Maxbotix
Pipe tape,"1/2"" x 520""",Pipe tape
3-pin cable,40 cm x 1.25 mm,3-pin cable
Solar system,See site for parts dimensions,5 Watt 5 Volt 35Wh Solar System
USB cable,USB A to Micro-B,USB Cable
Cable gland,"Cable range 0.08"" - 0.24""",Cable gland
Adhesive,25 mL,Loctite Marine Epoxy
